Site;SS33 Rue des Communaux 7 (ID 3233);SS33 Rue des Communaux 7 (ID 3233);SS33 Rue des Communaux 7 (ID 3233);SS33 Rue des Communaux 7 (ID 3233)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-05 15:00:00;15;74.9;43.9;50.2
2023-01-05 16:00:00;13;73.9;32.7;43.5
2023-01-05 17:00:00;15;75.0;43.7;50.3
2023-01-05 18:00:00;16;74.0;33.5;45.3
2023-01-05 19:00:00;20;74.9;42.4;51.1
2023-01-05 20:00:00;18;74.1;34.3;46.2
2023-01-05 21:00:00;19;74.4;36.2;47.2
2023-01-05 22:00:00;15;74.6;38.5;47.1
2023-01-05 23:00:00;17;73.7;32.4;44.7
2023-01-06 00:00:00;21;74.7;42.2;50.4
2023-01-06 01:00:00;18;73.4;33.0;45.7
2023-01-06 02:00:00;23;74.6;39.8;50.3
2023-01-06 03:00:00;18;74.2;36.4;47.2
2023-01-06 04:00:00;22;74.0;34.3;47.6
2023-01-06 05:00:00;22;74.4;37.6;49.1
2023-01-06 06:00:00;21;75.2;39.1;50.2
2023-01-06 07:00:00;19;74.9;36.1;48.6
2023-01-06 08:00:00;23;75.1;39.2;50.7
2023-01-06 09:00:00;18;75.4;40.0;50.2
2023-01-06 10:00:00;19;75.0;36.0;48.5
2023-01-06 11:00:00;19;75.7;43.7;52.0
2023-01-06 12:00:00;17;74.9;35.4;47.4
2023-01-06 13:00:00;18;75.4;42.8;51.7
2023-01-06 14:00:00;14;74.8;36.0;45.7
2023-01-06 15:00:00;18;75.0;38.6;48.6
2023-01-06 16:00:00;12;74.8;37.7;45.7
2023-01-06 17:00:00;18;74.4;34.9;45.9
2023-01-06 18:00:00;15;75.1;42.0;49.8
2023-01-06 19:00:00;16;74.1;33.0;44.9
2023-01-06 20:00:00;18;75.2;42.5;49.9
2023-01-06 21:00:00;14;74.1;30.4;42.1
2023-01-06 22:00:00;18;75.1;41.5;48.7
2023-01-06 23:00:00;17;74.0;30.8;42.8
2023-01-07 00:00:00;21;74.2;35.2;46.3
2023-01-07 01:00:00;16;74.5;37.2;46.4
2023-01-07 02:00:00;19;74.0;32.0;44.9
2023-01-07 03:00:00;23;74.8;38.0;48.9
2023-01-07 04:00:00;19;74.5;35.8;46.8
2023-01-07 05:00:00;21;74.0;33.2;46.4
2023-01-07 06:00:00;27;75.1;39.0;50.9
2023-01-07 07:00:00;20;75.4;39.5;51.4
2023-01-07 08:00:00;22;75.0;37.1;51.6
2023-01-07 09:00:00;26;75.6;40.6;53.5
2023-01-07 10:00:00;20;75.4;41.3;52.7
2023-01-07 11:00:00;18;75.0;37.0;49.6
2023-01-07 12:00:00;19;75.1;37.2;49.2
2023-01-07 13:00:00;14;75.7;43.1;50.7
2023-01-07 14:00:00;13;74.8;35.0;46.2
2023-01-07 15:00:00;15;74.8;34.6;46.3
2023-01-07 16:00:00;18;75.5;43.4;51.2
2023-01-07 17:00:00;16;75.0;35.0;46.9
2023-01-07 18:00:00;18;75.0;35.7;48.3
2023-01-07 19:00:00;22;75.8;43.4;52.6
2023-01-07 20:00:00;20;75.0;36.0;49.3
2023-01-07 21:00:00;17;74.7;34.0;46.5
2023-01-07 22:00:00;22;75.7;42.4;51.3
2023-01-07 23:00:00;20;74.9;34.0;47.2
2023-01-08 00:00:00;19;74.5;34.0;47.2
2023-01-08 01:00:00;23;75.7;42.5;51.7
2023-01-08 02:00:00;19;74.7;34.8;47.2
2023-01-08 03:00:00;18;74.0;33.3;45.9
2023-01-08 04:00:00;18;75.4;43.3;50.1
2023-01-08 05:00:00;17;74.0;32.1;44.2
2023-01-08 06:00:00;19;74.5;33.2;46.2
2023-01-08 07:00:00;20;75.9;44.2;52.1
2023-01-08 08:00:00;18;75.0;35.3;47.7
2023-01-08 09:00:00;17;75.0;35.0;47.3
2023-01-08 10:00:00;20;75.8;42.8;51.8
2023-01-08 11:00:00;17;75.1;35.4;46.8
2023-01-08 12:00:00;15;75.0;34.6;46.3
2023-01-08 13:00:00;19;75.5;39.7;49.6
2023-01-08 14:00:00;15;75.4;37.3;46.7
2023-01-08 15:00:00;15;75.0;33.9;45.7
2023-01-08 16:00:00;20;75.4;38.4;49.0
2023-01-08 17:00:00;14;75.4;38.6;47.7
2023-01-08 18:00:00;15;74.9;34.1;45.9
2023-01-08 19:00:00;20;74.9;34.9;46.7
2023-01-08 20:00:00;17;75.7;40.9;49.4
2023-01-08 21:00:00;15;74.5;31.2;43.0
2023-01-08 22:00:00;19;74.7;33.1;44.7
2023-01-08 23:00:00;15;75.2;39.6;47.6
