Site;SS39 Av. de Gilamont 46 (ID 3239);SS39 Av. de Gilamont 46 (ID 3239);SS39 Av. de Gilamont 46 (ID 3239);SS39 Av. de Gilamont 46 (ID 3239)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-05-14 19:00:00;0;71.8;52.2;71.7
2023-05-14 20:00:00;8;69.3;49.8;69.0
2023-05-14 21:00:00;27;78.6;66.2;77.7
2023-05-14 22:00:00;1;74.0;54.3;71.3
2023-05-14 23:00:00;8;76.5;26.0;32.1
2023-05-15 00:00:00;7;77.0;26.0;32.2
2023-05-15 01:00:00;7;77.5;26.0;32.3
2023-05-15 02:00:00;7;77.0;26.0;32.3
2023-05-15 03:00:00;7;75.8;26.0;32.4
2023-05-15 04:00:00;7;76.2;26.2;32.6
2023-05-15 05:00:00;7;77.0;26.9;32.6
2023-05-15 06:00:00;58;78.5;59.4;70.4
2023-05-15 07:00:00;11;77.1;33.8;36.6
2023-05-15 08:00:00;14;76.0;28.0;35.5
2023-05-15 09:00:00;35;77.7;34.6;47.6
2023-05-15 10:00:00;26;76.9;59.0;59.9
2023-05-15 11:00:00;8;77.6;28.0;34.3
2023-05-15 12:00:00;1;64.6;27.5;44.7
2023-05-15 13:00:00;16;59.3;37.8;54.5
2023-05-15 14:00:00;13;78.0;66.5;77.7
2023-05-15 15:00:00;0;73.3;51.7;73.3
2023-05-15 16:00:00;0;69.2;45.8;69.2
2023-05-15 17:00:00;18;71.9;53.6;71.2
2023-05-15 18:00:00;2;76.8;63.3;76.6
2023-05-15 19:00:00;0;72.4;52.2;72.4
2023-05-15 20:00:00;0;68.5;47.2;68.4
2023-05-15 21:00:00;36;78.4;65.7;77.3
2023-05-15 22:00:00;0;74.8;57.2;74.7
2023-05-15 23:00:00;0;70.7;50.1;70.6
2023-05-16 00:00:00;2;67.7;42.3;59.0
2023-05-16 01:00:00;8;76.8;25.9;32.0
2023-05-16 02:00:00;7;76.8;26.0;32.0
2023-05-16 03:00:00;6;75.7;26.0;34.8
2023-05-16 04:00:00;8;77.4;26.0;32.3
2023-05-16 05:00:00;7;77.0;26.0;32.3
2023-05-16 06:00:00;61;78.8;58.2;70.4
2023-05-16 07:00:00;10;77.3;35.1;37.4
2023-05-16 08:00:00;13;78.0;28.0;35.2
2023-05-16 09:00:00;48;78.7;42.3;54.3
2023-05-16 10:00:00;17;76.3;52.9;53.5
2023-05-16 11:00:00;7;77.3;27.2;33.6
2023-05-16 12:00:00;10;77.5;27.7;34.2
2023-05-16 13:00:00;32;78.6;44.9;55.0
2023-05-16 14:00:00;9;74.8;45.7;44.5
2023-05-16 15:00:00;9;77.2;28.0;34.2
2023-05-16 16:00:00;9;77.5;28.0;34.2
2023-05-16 17:00:00;31;78.1;56.8;62.5
2023-05-16 18:00:00;7;75.5;32.9;34.4
2023-05-16 19:00:00;10;78.0;28.0;34.8
2023-05-16 20:00:00;29;78.2;34.9;44.7
2023-05-16 21:00:00;23;77.1;54.8;57.7
2023-05-16 22:00:00;13;77.9;28.6;35.8
2023-05-16 23:00:00;3;76.9;28.0;33.0
2023-05-17 00:00:00;5;76.4;27.0;33.0
2023-05-17 01:00:00;46;78.0;62.3;69.7
2023-05-17 02:00:00;5;74.2;31.3;33.0
2023-05-17 03:00:00;7;77.1;27.0;33.3
2023-05-17 04:00:00;8;77.2;27.0;33.4
2023-05-17 05:00:00;8;77.0;27.0;33.4
2023-05-17 06:00:00;19;77.1;28.0;36.4
2023-05-17 07:00:00;41;77.9;56.6;62.6
2023-05-17 08:00:00;15;77.9;28.9;36.3
2023-05-17 09:00:00;13;78.3;29.0;36.0
2023-05-17 10:00:00;57;79.1;61.0;73.5
2023-05-17 11:00:00;1;71.3;48.2;44.2
2023-05-17 12:00:00;5;76.1;27.4;33.2
2023-05-17 13:00:00;7;77.0;28.0;33.8
2023-05-17 14:00:00;43;77.2;64.1;69.9
2023-05-17 15:00:00;7;76.6;29.2;33.9
2023-05-17 16:00:00;8;77.9;28.0;34.2
2023-05-17 17:00:00;14;78.0;31.3;38.6
2023-05-17 18:00:00;20;76.2;56.8;57.6
2023-05-17 19:00:00;8;77.7;28.0;34.4
2023-05-17 20:00:00;10;77.9;28.0;34.8
2023-05-17 21:00:00;53;78.8;54.8;67.3
2023-05-17 22:00:00;7;76.4;38.2;38.5
2023-05-17 23:00:00;1;69.4;28.0;47.0
2023-05-18 00:00:00;4;74.7;27.0;32.6
2023-05-18 01:00:00;5;76.2;27.0;32.7
2023-05-18 02:00:00;6;77.0;27.0;32.9
2023-05-18 03:00:00;7;77.0;27.0;33.1
