Site;SS05 Av. de Gilamont 67 (ID 3205);SS05 Av. de Gilamont 67 (ID 3205);SS05 Av. de Gilamont 67 (ID 3205);SS05 Av. de Gilamont 67 (ID 3205)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-01 00:00:00;25;78.0;42.0;55.3
2023-01-01 01:00:00;53;78.2;44.3;58.3
2023-01-01 02:00:00;58;79.2;46.5;59.4
2023-01-01 03:00:00;41;78.7;43.6;56.8
2023-01-01 04:00:00;54;78.9;46.2;59.3
2023-01-01 05:00:00;44;79.0;40.0;56.4
2023-01-01 06:00:00;42;78.6;40.6;56.4
2023-01-01 07:00:00;98;79.3;50.5;65.9
2023-01-01 08:00:00;83;79.5;52.4;66.9
2023-01-01 09:00:00;91;79.8;53.7;67.5
2023-01-01 10:00:00;65;79.3;48.2;64.8
2023-01-01 11:00:00;70;79.7;52.3;66.3
2023-01-01 12:00:00;73;80.0;67.2;72.9
2023-01-01 13:00:00;34;78.9;74.1;74.2
2023-01-01 14:00:00;44;74.6;61.1;61.7
2023-01-01 15:00:00;60;78.1;71.7;72.3
2023-01-01 16:00:00;72;78.8;68.4;70.3
2023-01-01 17:00:00;71;79.4;50.3;61.6
2023-01-01 18:00:00;85;79.5;56.2;66.6
2023-01-01 19:00:00;64;79.3;42.7;59.9
2023-01-01 20:00:00;61;79.0;49.6;63.7
2023-01-01 21:00:00;82;79.4;50.9;66.0
2023-01-01 22:00:00;90;79.8;67.4;73.3
2023-01-01 23:00:00;55;79.0;48.9;63.4
2023-01-02 00:00:00;42;79.5;48.4;61.3
2023-01-02 01:00:00;50;79.0;45.8;60.2
2023-01-02 02:00:00;34;79.5;42.4;55.6
2023-01-02 03:00:00;43;78.6;46.0;58.3
2023-01-02 04:00:00;50;78.7;46.1;58.6
2023-01-02 05:00:00;39;78.6;40.7;55.8
2023-01-02 06:00:00;61;78.9;50.8;61.7
2023-01-02 07:00:00;94;79.4;44.0;62.3
2023-01-02 08:00:00;64;79.3;50.5;65.6
2023-01-02 09:00:00;75;79.5;53.2;67.3
2023-01-02 10:00:00;71;79.8;48.5;65.5
2023-01-02 11:00:00;86;80.1;71.6;75.5
2023-01-02 12:00:00;87;80.0;70.4;74.8
2023-01-02 13:00:00;38;78.3;61.4;63.9
2023-01-02 14:00:00;42;74.3;70.8;68.8
2023-01-02 15:00:00;56;78.9;67.5;70.0
2023-01-02 16:00:00;35;74.9;65.3;63.6
2023-01-02 17:00:00;68;77.0;49.1;57.9
2023-01-02 18:00:00;54;79.1;62.5;66.6
2023-01-02 19:00:00;62;78.6;52.4;61.7
2023-01-02 20:00:00;69;78.9;52.7;63.2
2023-01-02 21:00:00;76;79.0;58.9;67.6
2023-01-02 22:00:00;67;78.9;55.9;65.8
2023-01-02 23:00:00;38;78.5;50.3;60.5
2023-01-03 00:00:00;24;77.8;55.6;60.3
2023-01-03 01:00:00;45;78.1;45.5;56.9
2023-01-03 02:00:00;26;78.6;40.0;52.9
2023-01-03 03:00:00;38;78.4;46.2;56.4
2023-01-03 04:00:00;45;78.2;46.0;56.5
2023-01-03 05:00:00;49;77.7;60.5;65.6
2023-01-03 06:00:00;43;78.9;52.1;59.2
2023-01-03 07:00:00;81;78.9;49.3;62.5
2023-01-03 08:00:00;65;79.0;49.4;62.9
2023-01-03 09:00:00;48;79.4;47.3;61.2
2023-01-03 10:00:00;74;79.3;54.1;65.7
2023-01-03 11:00:00;73;79.0;54.9;66.3
2023-01-03 12:00:00;76;79.0;49.8;62.7
2023-01-03 13:00:00;82;79.8;71.7;75.3
2023-01-03 14:00:00;76;79.6;61.2;69.0
2023-01-03 15:00:00;80;79.4;56.6;66.6
2023-01-03 16:00:00;64;79.2;51.1;63.9
2023-01-03 17:00:00;57;78.9;41.8;58.5
2023-01-03 18:00:00;75;79.2;50.4;63.9
2023-01-03 19:00:00;100;79.8;67.2;72.8
2023-01-03 20:00:00;96;79.3;55.9;68.3
2023-01-03 21:00:00;106;79.9;59.1;70.3
2023-01-03 22:00:00;79;79.2;47.5;64.9
2023-01-03 23:00:00;63;79.2;51.5;64.8
2023-01-04 00:00:00;44;78.9;48.9;60.9
2023-01-04 01:00:00;60;78.7;45.5;59.8
2023-01-04 02:00:00;49;79.1;41.1;56.8
2023-01-04 03:00:00;46;79.0;45.7;58.8
2023-01-04 04:00:00;53;79.0;46.0;59.1
2023-01-04 05:00:00;69;79.5;57.9;66.3
2023-01-04 06:00:00;51;78.8;41.4;58.3
2023-01-04 07:00:00;101;79.7;51.6;67.6
2023-01-04 08:00:00;73;79.5;53.2;66.7
2023-01-04 09:00:00;90;79.6;50.2;66.1
2023-01-04 10:00:00;85;79.4;49.6;65.5
2023-01-04 11:00:00;78;80.0;63.0;70.9
2023-01-04 12:00:00;69;79.6;60.3;67.9
2023-01-04 13:00:00;74;79.8;57.8;66.8
2023-01-04 14:00:00;83;79.8;61.6;69.1
2023-01-04 15:00:00;71;79.4;55.9;65.1
2023-01-04 16:00:00;45;78.7;52.2;61.5
2023-01-04 17:00:00;69;79.5;49.8;62.8
2023-01-04 18:00:00;73;79.2;50.4;64.1
2023-01-04 19:00:00;105;79.6;60.0;69.7
2023-01-04 20:00:00;87;79.5;54.5;66.3
2023-01-04 21:00:00;69;79.4;47.6;63.3
2023-01-04 22:00:00;74;79.3;52.9;66.0
2023-01-04 23:00:00;70;79.5;52.8;64.1
2023-01-05 00:00:00;27;78.0;41.9;54.7
2023-01-05 01:00:00;61;79.3;50.4;61.7
2023-01-05 02:00:00;50;79.2;47.1;58.9
2023-01-05 03:00:00;50;78.5;41.4;56.3
2023-01-05 04:00:00;37;78.6;44.5;57.1
2023-01-05 05:00:00;48;79.0;48.9;59.8
2023-01-05 06:00:00;40;78.2;40.0;55.2
2023-01-05 07:00:00;143;79.3;61.8;69.6
2023-01-06 05:00:00;86;80.0;54.4;69.8
2023-01-06 06:00:00;105;80.0;50.0;66.7
2023-01-06 07:00:00;103;80.1;54.9;70.9
2023-01-06 08:00:00;100;80.1;56.0;71.5
2023-01-06 09:00:00;100;80.2;56.1;71.2
2023-01-06 10:00:00;90;80.1;54.3;71.2
2023-01-06 11:00:00;80;80.1;51.6;70.3
2023-01-06 12:00:00;85;80.2;56.7;68.6
2023-01-06 13:00:00;85;80.5;72.0;75.5
2023-01-06 14:00:00;78;80.3;65.4;72.7
2023-01-06 15:00:00;68;80.1;56.0;72.4
2023-01-06 16:00:00;68;79.9;57.3;72.8
2023-01-06 17:00:00;78;80.0;55.2;69.0
2023-01-06 18:00:00;101;80.1;55.3;67.4
2023-01-06 19:00:00;91;79.9;53.8;68.5
2023-01-06 20:00:00;68;79.8;49.6;68.4
2023-01-06 21:00:00;94;79.9;56.2;71.2
2023-01-06 22:00:00;82;80.0;51.6;66.9
2023-01-06 23:00:00;85;80.1;69.8;74.8
2023-01-07 00:00:00;36;78.4;47.8;58.8
2023-01-07 01:00:00;75;79.7;48.7;63.1
2023-01-07 02:00:00;79;79.5;46.0;62.4
2023-01-07 03:00:00;61;79.4;42.2;60.2
2023-01-07 04:00:00;75;79.5;47.5;63.5
2023-01-07 05:00:00;75;80.0;50.3;65.4
2023-01-07 06:00:00;55;79.5;43.7;61.0
2023-01-07 07:00:00;120;80.0;52.7;69.1
2023-01-07 08:00:00;105;80.2;55.5;71.1
2023-01-07 09:00:00;113;80.4;56.8;71.6
2023-01-07 10:00:00;116;80.2;56.1;71.8
2023-01-07 11:00:00;93;80.4;53.8;70.3
2023-01-07 12:00:00;101;80.7;70.8;75.1
2023-01-07 13:00:00;89;80.9;72.1;75.8
2023-01-07 14:00:00;72;80.6;69.6;74.1
2023-01-07 15:00:00;73;79.9;50.9;63.3
2023-01-07 16:00:00;44;79.3;40.6;56.5
2023-01-07 17:00:00;96;80.1;59.2;69.2
2023-01-07 18:00:00;110;80.2;65.4;72.7
2023-01-07 19:00:00;113;80.3;57.9;70.3
2023-01-07 20:00:00;108;80.3;52.5;68.7
