Site;SS04 Av. de Gilamont 65 (ID 3204);SS04 Av. de Gilamont 65 (ID 3204);SS04 Av. de Gilamont 65 (ID 3204);SS04 Av. de Gilamont 65 (ID 3204)
Object;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Compteur d'énergie sous-station;Régulation primaire (échangeur 1)
Time Stamp;Puissance [kW];Température depart [°C];Température retour [°C];Temp depart secondaire [°C]
2023-01-01 00:00:00;33;79.0;55.0;56.7
2023-01-01 01:00:00;85;80.0;62.9;65.8
2023-01-01 02:00:00;40;79.0;57.1;57.6
2023-01-01 03:00:00;44;77.5;60.3;58.8
2023-01-01 04:00:00;48;78.6;58.7;59.0
2023-01-01 05:00:00;34;79.8;54.9;56.3
2023-01-01 06:00:00;63;78.8;61.4;62.2
2023-01-01 07:00:00;133;80.0;62.9;67.9
2023-01-01 08:00:00;73;80.2;60.5;64.2
2023-01-01 09:00:00;86;80.3;63.7;67.3
2023-01-01 10:00:00;68;80.2;61.8;65.0
2023-01-01 11:00:00;83;80.3;63.7;66.6
2023-01-01 12:00:00;68;80.4;63.9;66.0
2023-01-01 13:00:00;53;79.3;64.5;65.6
2023-01-01 14:00:00;65;78.9;65.5;66.3
2023-01-01 15:00:00;67;78.5;65.1;65.2
2023-01-01 16:00:00;71;79.3;62.6;64.3
2023-01-01 17:00:00;81;79.6;63.1;65.4
2023-01-01 18:00:00;112;80.0;62.6;66.6
2023-01-01 19:00:00;78;80.0;62.6;65.6
2023-01-01 20:00:00;90;80.0;62.3;65.7
2023-01-01 21:00:00;92;80.2;63.3;66.9
2023-01-01 22:00:00;87;80.1;61.1;64.8
2023-01-01 23:00:00;68;80.0;64.6;66.9
2023-01-02 00:00:00;45;78.3;60.5;60.9
2023-01-02 01:00:00;61;79.7;61.1;62.3
2023-01-02 02:00:00;41;75.5;64.2;60.8
2023-01-02 03:00:00;30;79.7;54.4;55.5
2023-01-02 05:00:00;30;79.3;54.0;55.2
2023-01-02 06:00:00;58;79.8;58.5;60.5
2023-01-02 07:00:00;105;80.3;60.8;65.3
2023-01-02 08:00:00;60;80.1;59.3;62.5
2023-01-02 09:00:00;87;80.4;64.4;67.6
2023-01-02 10:00:00;60;80.2;60.6;63.2
2023-01-02 11:00:00;77;80.3;61.5;64.4
2023-01-02 12:00:00;73;79.2;61.0;62.8
2023-01-02 13:00:00;90;80.3;63.8;66.8
2023-01-02 14:00:00;39;77.5;64.6;65.0
2023-01-02 15:00:00;73;80.0;65.4;67.1
2023-01-02 16:00:00;37;76.6;64.2;63.0
2023-01-02 17:00:00;69;79.3;52.6;54.7
2023-01-02 18:00:00;57;78.7;64.4;64.7
2023-01-02 19:00:00;38;79.1;49.9;51.6
2023-01-02 20:00:00;130;80.1;64.6;68.9
2023-01-02 21:00:00;42;78.9;55.8;57.0
2023-01-02 22:00:00;92;79.9;62.4;65.6
2023-01-02 23:00:00;47;73.9;61.1;61.1
2023-01-03 00:00:00;13;74.3;53.0;52.8
2023-01-03 01:00:00;74;78.9;64.8;66.5
2023-01-03 02:00:00;38;77.5;55.6;55.2
2023-01-03 03:00:00;24;73.5;62.9;57.9
2023-01-03 04:00:00;38;77.5;57.3;56.0
2023-01-03 05:00:00;28;79.2;52.5;53.4
2023-01-03 06:00:00;45;76.6;62.6;60.7
2023-01-03 07:00:00;103;77.6;61.1;62.9
2023-01-03 08:00:00;51;79.7;57.0;59.8
2023-01-03 09:00:00;92;79.9;65.2;68.3
2023-01-03 10:00:00;47;79.7;57.6;59.7
2023-01-03 11:00:00;101;79.7;62.8;66.5
2023-01-03 12:00:00;71;80.0;60.6;63.0
2023-01-03 13:00:00;88;80.0;64.1;67.0
2023-01-03 14:00:00;93;80.0;64.9;68.1
2023-01-03 15:00:00;89;79.6;63.8;66.1
2023-01-03 16:00:00;61;79.8;59.7;61.7
2023-01-03 17:00:00;71;79.5;62.0;64.1
2023-01-03 18:00:00;85;79.9;62.0;65.0
2023-01-03 19:00:00;105;80.0;63.2;67.3
2023-01-03 20:00:00;102;80.1;62.7;66.9
2023-01-03 21:00:00;106;80.0;64.1;68.2
2023-01-03 22:00:00;55;80.0;61.0;64.0
2023-01-03 23:00:00;88;80.1;65.0;68.1
2023-01-04 00:00:00;34;78.8;59.8;60.1
2023-01-04 01:00:00;64;79.7;61.0;62.7
2023-01-04 02:00:00;43;77.9;60.2;59.1
2023-01-04 03:00:00;44;78.2;58.7;58.6
2023-01-04 04:00:00;58;78.7;60.9;61.3
2023-01-04 05:00:00;48;79.7;55.8;58.4
2023-01-04 06:00:00;72;79.8;62.0;63.7
2023-01-04 07:00:00;109;80.2;63.2;67.5
2023-01-04 08:00:00;69;80.1;62.6;65.7
2023-01-04 09:00:00;100;80.3;64.6;68.2
2023-01-04 10:00:00;83;80.1;61.4;65.2
2023-01-04 11:00:00;118;80.3;64.9;69.1
2023-01-04 12:00:00;76;80.3;62.2;65.0
2023-01-04 13:00:00;74;79.7;63.9;65.5
2023-01-04 14:00:00;84;80.2;64.9;67.8
2023-01-04 15:00:00;39;78.8;56.0;56.6
2023-01-04 16:00:00;97;80.1;64.5;67.8
2023-01-04 17:00:00;61;79.6;59.4;61.3
2023-01-04 18:00:00;56;79.8;56.0;59.0
2023-01-04 19:00:00;95;80.1;62.5;65.5
2023-01-04 20:00:00;81;79.9;60.6;64.0
2023-01-04 21:00:00;100;80.1;64.8;68.5
2023-01-04 22:00:00;57;80.0;58.2;61.0
2023-01-04 23:00:00;33;78.8;65.3;64.3
2023-01-05 00:00:00;28;76.6;61.0;59.1
2023-01-05 01:00:00;84;79.9;62.4;65.3
2023-01-05 02:00:00;48;78.6;59.5;59.9
2023-01-05 03:00:00;31;78.6;57.6;57.3
2023-01-05 04:00:00;51;78.0;60.8;60.1
2023-01-05 05:00:00;30;79.6;54.0;55.2
2023-01-05 06:00:00;50;79.7;56.2;58.2
2023-01-05 07:00:00;109;79.6;62.1;65.1
2023-01-05 08:00:00;52;80.2;59.0;61.7
2023-01-06 06:00:00;44;80.3;64.0;66.0
2023-01-06 07:00:00;128;80.7;65.0;69.6
2023-01-06 08:00:00;84;80.7;64.3;68.7
2023-01-06 09:00:00;102;80.9;65.3;69.4
2023-01-06 10:00:00;83;80.8;64.5;68.1
2023-01-06 11:00:00;96;80.8;64.7;68.9
2023-01-06 12:00:00;88;80.9;63.2;66.8
2023-01-06 13:00:00;87;80.9;65.3;68.7
2023-01-06 14:00:00;70;80.1;63.4;65.2
2023-01-06 15:00:00;61;80.5;62.0;64.2
2023-01-06 16:00:00;67;80.6;65.0;67.2
2023-01-06 17:00:00;86;80.5;62.0;64.8
2023-01-06 18:00:00;104;80.4;62.6;66.5
2023-01-06 19:00:00;100;80.5;62.3;66.2
2023-01-06 20:00:00;83;80.6;61.6;65.2
2023-01-06 21:00:00;102;80.8;64.7;68.6
2023-01-06 22:00:00;84;80.5;62.5;65.9
2023-01-06 23:00:00;88;80.5;65.3;68.2
2023-01-07 00:00:00;26;77.9;58.0;58.1
2023-01-07 01:00:00;93;80.2;63.5;66.3
2023-01-07 02:00:00;49;80.3;57.8;60.3
2023-01-07 03:00:00;73;79.9;61.4;63.9
2023-01-07 04:00:00;60;80.2;60.6;63.3
2023-01-07 05:00:00;60;80.5;61.8;64.3
2023-01-07 06:00:00;46;80.3;59.9;62.2
2023-01-07 07:00:00;130;80.7;64.4;69.5
2023-01-07 08:00:00;94;80.8;64.5;69.1
2023-01-07 09:00:00;112;81.0;65.3;70.1
2023-01-07 10:00:00;105;81.0;64.6;69.0
2023-01-07 11:00:00;83;81.0;65.1;69.0
2023-01-07 12:00:00;125;81.1;65.3;69.7
2023-01-07 13:00:00;79;81.0;63.6;66.7
2023-01-07 14:00:00;88;81.0;64.8;68.0
2023-01-07 15:00:00;83;80.9;65.1;67.9
2023-01-07 16:00:00;43;79.9;57.3;58.2
2023-01-07 17:00:00;123;80.9;65.3;69.5
2023-01-07 18:00:00;71;80.8;59.2;63.2
2023-01-07 19:00:00;117;81.0;63.8;68.4
2023-01-07 20:00:00;98;80.9;64.1;68.5
2023-01-07 21:00:00;125;81.0;65.1;69.8
